Model	Transcription factor
MYOD1_HUMAN.H11MO.0.A	HUMAN:MYOD1
MYOD1_HUMAN.H11MO.1.A	HUMAN:MYOD1
MYOG_HUMAN.H11MO.0.B	HUMAN:MYOG
MZF1_HUMAN.H11MO.0.B	HUMAN:MZF1
NANOG_HUMAN.H11MO.0.A	HUMAN:NANOG
NANOG_HUMAN.H11MO.1.B	HUMAN:NANOG
NDF1_HUMAN.H11MO.0.A	HUMAN:NEUROD1
NDF2_HUMAN.H11MO.0.B	HUMAN:NEUROD2
NF2L1_HUMAN.H11MO.0.C	HUMAN:NFE2L1
NF2L2_HUMAN.H11MO.0.A	HUMAN:NFE2L2
NFAC1_HUMAN.H11MO.0.B	HUMAN:NFATC1
NFAC1_HUMAN.H11MO.1.B	HUMAN:NFATC1
NFAC2_HUMAN.H11MO.0.B	HUMAN:NFATC2
NFAC3_HUMAN.H11MO.0.B	HUMAN:NFATC3
NFAC4_HUMAN.H11MO.0.C	HUMAN:NFATC4
NFAT5_HUMAN.H11MO.0.D	HUMAN:NFAT5
NFE2_HUMAN.H11MO.0.A	HUMAN:NFE2
NFIA_HUMAN.H11MO.0.C	HUMAN:NFIA
NFIA_HUMAN.H11MO.1.D	HUMAN:NFIA
NFIB_HUMAN.H11MO.0.D	HUMAN:NFIB
NFIC_HUMAN.H11MO.0.A	HUMAN:NFIC
NFIC_HUMAN.H11MO.1.A	HUMAN:NFIC
NFIL3_HUMAN.H11MO.0.D	HUMAN:NFIL3
NFKB1_HUMAN.H11MO.1.B	HUMAN:NFKB1
NFKB2_HUMAN.H11MO.0.B	HUMAN:NFKB2
NFYA_HUMAN.H11MO.0.A	HUMAN:NFYA
NFYB_HUMAN.H11MO.0.A	HUMAN:NFYB
NFYC_HUMAN.H11MO.0.A	HUMAN:NFYC
NGN2_HUMAN.H11MO.0.D	HUMAN:NEUROG2
NKX21_HUMAN.H11MO.0.A	HUMAN:NKX2-1
NKX22_HUMAN.H11MO.0.D	HUMAN:NKX2-2
NKX23_HUMAN.H11MO.0.D	HUMAN:NKX2-3
NKX25_HUMAN.H11MO.0.B	HUMAN:NKX2-5
NKX28_HUMAN.H11MO.0.C	HUMAN:NKX2-8
NKX31_HUMAN.H11MO.0.C	HUMAN:NKX3-1
NKX32_HUMAN.H11MO.0.C	HUMAN:NKX3-2
NKX61_HUMAN.H11MO.0.B	HUMAN:NKX6-1
NKX61_HUMAN.H11MO.1.B	HUMAN:NKX6-1
NKX62_HUMAN.H11MO.0.D	HUMAN:NKX6-2
NOBOX_HUMAN.H11MO.0.C	HUMAN:NOBOX
NOTO_HUMAN.H11MO.0.D	HUMAN:NOTO
NR0B1_HUMAN.H11MO.0.D	HUMAN:NR0B1
NR1D1_HUMAN.H11MO.0.B	HUMAN:NR1D1
NR1D1_HUMAN.H11MO.1.D	HUMAN:NR1D1
NR1H2_HUMAN.H11MO.0.D	HUMAN:NR1H2
NR1H3_HUMAN.H11MO.0.B	HUMAN:NR1H3
NR1H3_HUMAN.H11MO.1.B	HUMAN:NR1H3
NR1H4_HUMAN.H11MO.0.B	HUMAN:NR1H4
NR1H4_HUMAN.H11MO.1.B	HUMAN:NR1H4
NR1I2_HUMAN.H11MO.0.C	HUMAN:NR1I2
NR1I2_HUMAN.H11MO.1.D	HUMAN:NR1I2
NR1I3_HUMAN.H11MO.0.C	HUMAN:NR1I3
NR1I3_HUMAN.H11MO.1.D	HUMAN:NR1I3
NR2C1_HUMAN.H11MO.0.C	HUMAN:NR2C1
NR2C2_HUMAN.H11MO.0.B	HUMAN:NR2C2
NR2E1_HUMAN.H11MO.0.D	HUMAN:NR2E1
NR2E3_HUMAN.H11MO.0.C	HUMAN:NR2E3
NR2F6_HUMAN.H11MO.0.D	HUMAN:NR2F6
NR4A1_HUMAN.H11MO.0.A	HUMAN:NR4A1
NR4A2_HUMAN.H11MO.0.C	HUMAN:NR4A2
NR4A3_HUMAN.H11MO.0.D	HUMAN:NR4A3
NR5A2_HUMAN.H11MO.0.B	HUMAN:NR5A2
NR6A1_HUMAN.H11MO.0.B	HUMAN:NR6A1
NRF1_HUMAN.H11MO.0.A	HUMAN:NRF1
NRL_HUMAN.H11MO.0.D	HUMAN:NRL
OLIG1_HUMAN.H11MO.0.D	HUMAN:OLIG1
OLIG2_HUMAN.H11MO.0.B	HUMAN:OLIG2
OLIG2_HUMAN.H11MO.1.B	HUMAN:OLIG2
OLIG3_HUMAN.H11MO.0.D	HUMAN:OLIG3
ONEC2_HUMAN.H11MO.0.D	HUMAN:ONECUT2
ONEC3_HUMAN.H11MO.0.D	HUMAN:ONECUT3
